Key,Type,Desc,English,Chinese
Don t Have an account?,Text,没有账号？,Don’t Have an account?,没有账号？
Email,Text,邮件,Email,邮件
Forgot password?,Text,忘记密码？,Forgot password?,忘记密码？
Language Select,Text,语言选择,Language Select,语言选择
Log In,Text,登录,Log In,登录
Password,Text,密码,Password,密码
Remembe me,Text,记住登录账号。,Remembe me.,记住登录账号。
Remember me.,Text,记住登录账号。,Remember me.,记住登录账号。
Sign up,Text,注册,Sign up,注册
Sign up.,Text,注册。,Sign up.,注册。
icon_country_flag_chn,Sprite,,icon_country_flag_eng,icon_country_flag_chn
中文,Text,,English,中文
